Catagery	Object_int_name	Object_Ext_name	Field_int_name	Field_ext_name	Field_type	Geom_type	Join_type	Relation	Is_Enum	Enum_values	Data_type	Mandatory	Field Size
Circuit	eo_circuit_section	Circuit Section	parent_circuit	Parent Circuit	dd_join_field	No	Circuit	1:n	No		NA	Yes	20
Circuit	eo_circuit_section	Circuit Section	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit_section	Circuit Section	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_section	Circuit Section	alias	Alias	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit_section	Circuit Section	line_segments	Line Segments	dd_join_field	No	Cable Segment	M:N	No		NA	No	20
Circuit	eo_circuit_section	Circuit Section	equipment	Equipment	dd_join_field	No	3-Winding Transformer Installation	M:N	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_section_code	Section Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit	Circuit	equipment	Equipment	dd_join_field	No	3-Winding Transformer Installation	M:N	No		NA	No	20
Circuit	eo_circuit	Circuit	operational_group	Operational Group	dd_join_field	No	Operational Group	0:N	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_group_with	Group With	dd_phys_field	No	No	No	Yes	,,DSS,Feeder(Incoming/Outgoing),GSS,HV Consumer,PSS,Pole,Switchgear,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	alias	Alias	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit	Circuit	tp_date_manufactured	Date Manufactured	dd_phys_field	No	No	No	No		ds_date	No	10
Circuit	eo_circuit	Circuit	date_last_updated	Date Last Updated	dd_phys_field	No	No	No	No		ds_date	No	19
Circuit	eo_circuit	Circuit	tp_division_name	Division Name	dd_phys_field	No	No	No	Yes	,,Aska-i,Aska-ii,Bed-2,Berhampur-i,Berhampur-iii,Bhanja Nagar,Boudh,Digapahandi,Ganjam North,Ganjam South,Gunupur,Hinjilicut,Jeypore,Koraput,Malkangiri,Nawarangpur,Parlakshemundi,Phulbani,Purusottampur,Raygada,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_sub_locality	Sub Locality	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	number	Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	40
Circuit	eo_circuit	Circuit	tp_work_order_id	Work Order ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit	Circuit	tp_feeder_name	Feeder Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	upstream_circuits	Upstream Circuits	dd_join_field	No	Circuit	m:n	No		NA	No	20
Circuit	eo_circuit	Circuit	tap_line_ind	Tap Line	dd_phys_field	No	No	No	Yes	,,No,Unknown,Yes	NA	No	9
Circuit	eo_circuit	Circuit	tp_date_of_last_maintenance	Date of Last Maintenance	dd_phys_field	No	No	No	No		ds_date	No	10
Circuit	eo_circuit	Circuit	tp_circle_code	Circle Code	dd_phys_field	No	No	No	Yes	,,0,21,29,31,34,35,71,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_division_code	Division Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_section_name	Section Name	dd_phys_field	No	No	No	Yes	,,Eso Adaba,Eso Ambapua,Eso Aska-1,Eso B.Singipur,Eso Badagada,Eso Baipariguda,Eso Balimela,Eso Balipadar,Eso Balisira,Eso Balliguda,Eso Bandhugaon,Eso Baunsuni,Eso Beguniapada,Eso Belaguntha,Eso Bhejiput,Eso Bijipur,Eso Bissam Ctc,Eso Bomakei,Eso Boriguma,Eso Boudh,Eso Budhaamba,Eso Buguda,Eso Chandahandi,Eso Chandragiri,Eso Chatrapur-i,Eso Chatrapur-ii,Eso Chikiti,Eso Chirikipada,Eso Dabugaon,Eso Daringibadi,Eso Dharakote,Eso Digapahandi,Eso E S O-i,Eso E S O-ii,Eso E.s.o.no.1,Eso E.s.o.no.2,Eso E.s.o.no.3,Eso G.nuagam-2,Eso G.udayagiri,Eso Gandhinagar,Eso Ganjam,Eso Garabandha,Eso Golanthara,Eso Gopalpur,Eso Gudari,Eso Gumma,Eso Gumuda,Eso Gunupur,Eso Gunupur Rural,Eso Head Quarter,Eso Hinjilicut,Eso J N Prasad,Eso J.k.pur,Eso Jagapur,Eso Jharigam,Eso Jyp No.1,Eso Jyp No.2,Eso Jyp No.3,Eso K B Pur,Eso K S Nagar,Eso Kakiriguma,Eso Kalimela,Eso Kanchuru,Eso Kanisi,Eso Kanteipally,Eso Kasinagar,Eso Kasipur,Eso Keshpur,Eso Khajuripada,Eso Khajuripada-i,Eso Khallikote,Eso Kodala,Eso Konkarada,Eso Koraput Sec-i,Eso Koraput Sec-ii,Eso Kosagumuda,Eso Kotpad,Eso Kukudakhandi,Eso Kundra,Eso Lanjipalli,Eso Lathi,Eso Laxmipur,Eso Luchapada,Eso Malkangiri,Eso Malud,Eso Manamunda,Eso Mathili,Eso Medical,Eso Mohana,Eso Muniguda,Eso Nabarangapur,Eso Nabarangpur Rural,Eso Nandapur,Eso Nuagam-i,Eso Nuagam-ii,Eso Nuapada,Eso P S Pur,Eso Padmapur,Eso Papadahandi,Eso Parlakhemundi,Eso Parlakhemundi Rural,Eso Patrapur,Eso Pattangi,Eso Pattapur,Eso Phiringai,Eso Phulbani,Eso Pitala,Eso Polosara,Eso Pudamari,Eso Purunakatak,Eso R.Udaygiri,Eso Raigada,Eso Raighar,Eso Raikia,Eso Rambha,Eso Ramnaguda,Eso Randhapalli,Eso Rayagada Rural,Eso Rayagada-1,Eso Rayagada-2,Eso Sheragada,Eso Sikarpai,Eso Similiguda,Eso Soroda,Eso Sunabeda,Eso Surangi,Eso T Khunti,Eso Taratarini,Eso Therubali,Eso Tikabali,Eso Tilisingi,Eso Tumudibandha,Eso Umerkote,Eso University,Eso Upalada,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	operating_company	Operating Company	dd_phys_field	No	No	No	Yes	,,Cable Company,Customer,Electric Utility,Telephone Company,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_sub_division_name	Sub Division Name	dd_phys_field	No	No	No	Yes	,,Aska,Balimela,Balliguda,Belaguntha,Bhanjanagar-i,Bhanjanagar-ii,Bijipur,Bijipur-Industrial,Bissam Cuttack,Boriguma,Boudh,Buguda,Chatrapur,Chikiti,Digapahandi,G UDAYAGIRI,Gopalpur,Gumuda,Gunupur,Hinjilicut,Jeypore Sdo-i,Jeypore Sdo-ii,K S Nagar,Kanisi,Kasinagar,Khallikote,Kodala,Koraput,Laxmipur,Malkangiri,Manamunda,Mohana,Nawarangpur,Nuagaon,P S Pur,Papadahandi,Parlakhemundi,Phulbani,Polasara,R.udayagiri,Rambha,Rayagada,Sheragada,Soroda,Sub.div.no-2,Sub.division No-1,Sub.division No-2,Sub.division No-3,Sunabeda,Theruballi,Umarkot,Unknown,Uppalada	NA	No	10
Circuit	eo_circuit	Circuit	downstream_circuits	Downstream Circuits	dd_join_field	No	Circuit	m:n	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_road_name	Road Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_date_of_last_updation_in_gis	Date Last Updated in GIS	dd_phys_field	No	No	No	No		ds_date	No	10
Circuit	eo_circuit	Circuit	tp_total_wire_length	Total Wire Length	dd_phys_field	No	No	No	No		float	No	10
Circuit	eo_circuit	Circuit	circuit_stoppers	Circuit Stoppers	dd_join_field	No	Circuit Stopper	m:n	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_total_cable_length	Total Cable Length	dd_phys_field	No	No	No	No		float	No	10
Circuit	eo_circuit	Circuit	tp_migration_unique_id	Migration Unique Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	annotations	Annotations	dd_join_field	No	Circuit Annotation	1:n	No		NA	No	20
Circuit	eo_circuit	Circuit	ug_exit_ind	Underground Exit	dd_phys_field	No	No	No	Yes	,,No,Unknown,Yes	NA	No	9
Circuit	eo_circuit	Circuit	tp_date_of_commissioning	Date of Commissioning	dd_phys_field	No	No	No	No		ds_date	No	10
Circuit	eo_circuit	Circuit	tp_date_of_de_commissioning	Date of De-Commissioning	dd_phys_field	No	No	No	No		ds_date	No	10
Circuit	eo_circuit	Circuit	circuit_id	Circuit ID	dd_phys_field	No	No	No	No		ds_char16_vector	Yes	64
Circuit	eo_circuit	Circuit	tp_time_of_data_collection	Time of data collection	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	structures	Structures	dd_join_field	No	Cross Arm	M:N	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_total_section_length	Total Section Length	dd_phys_field	No	No	No	No		float	No	10
Circuit	eo_circuit	Circuit	boundary_assets	Boundary Assets	dd_join_field	No	3-Winding Transformer Installation	M:N	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_address	Address	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_total_cable_actual_length	Total Cable Actual Length	dd_phys_field	No	No	No	No		float	No	10
Circuit	eo_circuit	Circuit	line_segments	Line Segments	dd_join_field	No	Cable Segment	M:N	No		NA	No	20
Circuit	eo_circuit	Circuit	circuit_sources	Circuit Sources	dd_join_field	No	Circuit Source	1:n	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_scada_monitor_id	SCADA Monitor ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	12
Circuit	eo_circuit	Circuit	ug_vented_ind	Underground Vented	dd_phys_field	No	No	No	Yes	,,No,Unknown,Yes	NA	No	9
Circuit	eo_circuit	Circuit	tp_date_of_creation_in_gis	Date of Creation in GIS	dd_phys_field	No	No	No	No		ds_date	No	10
Circuit	eo_circuit	Circuit	tp_cyme_id	CYME Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_pin_code	Pin Code	dd_phys_field	No	No	No	No		integer	No	10
Circuit	eo_circuit	Circuit	tp_total_feeder_length	Total Feeder Length	dd_phys_field	No	No	No	No		float	No	10
Circuit	eo_circuit	Circuit	tp_installation_type	Installation Type	dd_phys_field	No	No	No	Yes	,,Combination,In Door,Out Door,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_city	City	dd_phys_field	No	No	No	Yes	,,Others,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_date_of_data_collection	Date of Data collection	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_data_collected_by	Data Collected By	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_locality	Locality	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_data_updated_by_in_gis	Data Updated By in GIS	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_surveyor_remark_id	Tp Surveyor Remark Id	dd_phys_field	No	No	No	No		integer	No	10
Circuit	eo_circuit	Circuit	tp_network_type	Network Type	dd_phys_field	No	No	No	Yes	,,EHV,HV,LV,MV,Substation	NA	Yes	10
Circuit	eo_circuit	Circuit	tp_status	Status	dd_phys_field	No	No	No	Yes	,Abandoned,Existing,Inactive,Proposed Abandon,Proposed Install,Proposed Relocate,Proposed Remove,Proposed Replace,Removed,Temporary	NA	Yes	10
Circuit	eo_circuit	Circuit	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit	Circuit	tp_device_type	Device Type	dd_phys_field	No	No	No	Yes	,,Bus Raiser Panel,Feeder Pillar with Breaker,Feeder Pillar without Breaker,LV Cubicle,LV Junction Box,Meter Panel,Others,SFU Panel,Unknown	NA	Yes	10
Circuit	eo_circuit	Circuit	load_shed_priority	Load Shed Priority	dd_phys_field	No	No	No	Yes	,,1,1A,2,3,EX,Unknown	NA	No	9
Circuit	eo_circuit	Circuit	tp_company_id	Company ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_sap_functional_location	SAP Functional Location	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Circuit	eo_circuit	Circuit	tp_sub_division_code	Sub Division Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_sap_id	SAP ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	12
Circuit	eo_circuit	Circuit	tp_ward_code	Ward Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	extent_buffer	Extent Buffer	dd_phys_field	No	No	No	No		float	No	22
Circuit	eo_circuit	Circuit	originating_substations	Originating Substations	dd_join_field	No	Substation	m:n	No		NA	No	20
Circuit	eo_circuit	Circuit	tp_circle_name	Circle Name	dd_phys_field	No	No	No	Yes	,,Aska,Berhampur,Bhanjanagar,City,City Circle,Jeypore,Rayagada,Raygada,Unknown	NA	No	10
Circuit	eo_circuit	Circuit	tp_total_wire_actual_length	Total Wire Actual Length	dd_phys_field	No	No	No	No		float	No	10
Circuit	eo_circuit	Circuit	colour	Colour	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit	Circuit	tp_scada_control_id	SCADA Control ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	12
Circuit	eo_circuit	Circuit	extents	Extents	dd_join_field	No	Circuit Extent	1:n	No		NA	No	20
Circuit	eo_circuit	Circuit	eo_circuit_sections	Circuit Sections	dd_join_field	No	Circuit Section	1:n	No		NA	No	20
Circuit	eo_circuit	Circuit	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit	Circuit	tp_nominal_voltage	Nominal Voltage	dd_phys_field	No	No	No	Yes	,0.000 V,110.000 V,120.000 V,208.000 V,220.000 V,230.000 V,240.000 V,415.000 V,2.400 kV,4.160 kV,6.600 kV,8.000 kV,11.000 kV,12.470 kV,23.900 kV,33.000 kV,66.000 kV,115.000 kV,132.000 kV,220.000 kV,433.000 kV	NA	Yes	10
Circuit	eo_circuit_extent	Circuit Extent	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_extent	Circuit Extent	extent	Extent	dd_geom_field	simple_area	No	No	No		NA	No	10
Circuit	eo_circuit_extent	Circuit Extent	world_owner	World Owner	dd_derived_field	No	No	No	No		ds_char16_vector	No	10
Circuit	eo_circuit_extent	Circuit Extent	circuit_id	Internal Circuit ID	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_extent	Circuit Extent	circuit	Circuit ID	dd_join_field	No	Circuit	1:n	No		NA	Yes	20
Circuit	eo_circuit_section_extent	Circuit Section Extent	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_section_extent	Circuit Section Extent	extent	Extent	dd_geom_field	simple_area	No	No	No		NA	No	10
Circuit	eo_circuit_section_extent	Circuit Section Extent	world_owner	World Owner	dd_derived_field	No	No	No	No		ds_char16_vector	No	10
Circuit	eo_circuit_section_extent	Circuit Section Extent	circuit_section_id	Internal Circuit Section ID	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_section_extent	Circuit Section Extent	circuit_section	Circuit Section ID	dd_join_field	No	Circuit Section	1:n	No		NA	Yes	20
Circuit	eo_circuit_stopper	Circuit Stopper	asset	Asset	dd_join_field	No	3-Winding Transformer Installation	0:0	No		NA	No	20
Circuit	eo_circuit_stopper	Circuit Stopper	internal_location	Internal Location	dd_geom_field	simple_point	No	No	No		NA	No	10
Circuit	eo_circuit_stopper	Circuit Stopper	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit_stopper	Circuit Stopper	number	Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	40
Circuit	eo_circuit_stopper	Circuit Stopper	location	Location	dd_geom_field	simple_point	No	No	No		NA	No	10
Circuit	eo_circuit_stopper	Circuit Stopper	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_stopper	Circuit Stopper	annotation	Annotation	dd_geom_field	text	No	No	No		NA	No	10
Circuit	eo_circuit_stopper	Circuit Stopper	internal_annotation	Internal Annotation	dd_geom_field	text	No	No	No		NA	No	10
Circuit	eo_circuit_stopper	Circuit Stopper	eo_circuits	Circuits	dd_join_field	No	Circuit	m:n	No		NA	No	20
Circuit	eo_circuit_source	Circuit Source	circuit_id	Internal Circuit ID	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_source	Circuit Source	asset	Asset	dd_join_field	No	3-Winding Transformer Installation	0:0	No		NA	No	20
Circuit	eo_circuit_source	Circuit Source	annotation	Annotation	dd_geom_field	text	No	No	No		NA	No	10
Circuit	eo_circuit_source	Circuit Source	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Circuit	eo_circuit_source	Circuit Source	circuit_section	Circuit Section ID	dd_join_field	No	Circuit Section	0:n	No		NA	No	20
Circuit	eo_circuit_source	Circuit Source	number	Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	40
Circuit	eo_circuit_source	Circuit Source	circuit_source_id	Circuit Source ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit_source	Circuit Source	location	Location	dd_geom_field	simple_point	No	No	No		NA	No	10
Circuit	eo_circuit_source	Circuit Source	eo_circuit	Circuit ID	dd_join_field	No	Circuit	1:n	No		NA	Yes	20
Circuit	eo_circuit_source	Circuit Source	internal_location	Internal Location	dd_geom_field	simple_point	No	No	No		NA	No	10
Circuit	eo_circuit_source	Circuit Source	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Circuit	eo_circuit_source	Circuit Source	internal_annotation	Internal Annotation	dd_geom_field	text	No	No	No		NA	No	10
Segments	eo_connector_segment	Connector Segment	specification_description	Specification Description	dd_derived_field	No	No	No	No		ds_char16_vector	No	10
Segments	eo_connector_segment	Connector Segment	past_phases	Past Phases	dd_join_field	No	Connector Segment Past Phase	1:n	No		NA	No	20
Segments	eo_connector_segment	Connector Segment	source_id	Source ID	dd_phys_field	No	No	No	No		integer	No	10
Segments	eo_connector_segment	Connector Segment	tp_rated_current	Rated Current	dd_phys_field	No	No	No	No		float	No	10
Segments	eo_connector_segment	Connector Segment	tp_serial_number	Serial Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	12
Segments	eo_connector_segment	Connector Segment	tp_date_of_last_updation_in_gis	Date Last Updated in GIS	dd_phys_field	No	No	No	No		ds_date	No	10
Segments	eo_connector_segment	Connector Segment	tp_time_of_data_collection	Time of data collection	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Segments	eo_connector_segment	Connector Segment	alias	Alias	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Segments	eo_connector_segment	Connector Segment	date_manufactured	Date Manufactured	dd_phys_field	No	No	No	No		ds_date	No	19
Segments	eo_connector_segment	Connector Segment	tp_sub_type	Sub Type	dd_phys_field	No	No	No	Yes	,Bridge,Busbar,Internal link,Mid Span Tap,Others,Tap,Unknown	NA	No	10
Segments	eo_connector_segment	Connector Segment	specification	Specification	dd_join_field	No	Connector Segment Spec	0:N	No		NA	No	20
Segments	eo_connector_segment	Connector Segment	future_phases	Future Phases	dd_join_field	No	Connector Segment Future Phase	1:n	No		NA	No	20
Segments	eo_connector_segment	Connector Segment	existing_installation	Existing Installation	dd_join_field	No	Connector Segment Installation	join_via	No		NA	No	20
Segments	eo_connector_segment	Connector Segment	future_installation	Future Installation	dd_join_field	No	Connector Segment Installation	join_via	No		NA	No	20
Segments	eo_connector_segment	Connector Segment	remarks_id	Remarks Id	dd_phys_field	No	No	No	No		integer	Yes	10
Segments	eo_connector_segment	Connector Segment	tp_date_of_data_collection	Date of Data collection	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Segments	eo_connector_segment	Connector Segment	source_data	Source Data	dd_phys_field	No	No	No	No		ds_char16_vector	No	6
Segments	eo_connector_segment	Connector Segment	date_acquired	Date Acquired	dd_phys_field	No	No	No	No		ds_date	No	19
Segments	eo_connector_segment	Connector Segment	manufacturer	Manufacturer	dd_phys_field	No	No	No	Yes	,,ABB,Avon,Bell Lumber,Bentex Linger Switchgear,Bharat Heavy Electricals,Capital Meters,ECE,Elymer Electrics,GEC Alsthom,General Electric,Genus Infrastructures,Havells,Himachal Energy,Hpl Electric & Power,Indotech Switchgear & Controls (Delhi),International Paper,J.H. Baxter,Jaipur Electronics,Jnj Powercom,Juvas,Koppers,L.D. McFarland,Landis & Gyr,Larsen & Toubro,Montel Limited,North Pacfic Lumber,Oeser,Other,Palmohan,Pole Star,Powertech,Secure Meter,SquareD,Stella-Jones,Suzhou Power Meter,Taylor Lumber,Unknown,Visiontek,Westinghouse,Weyerhaeuser,ZEN	NA	No	10
Segments	eo_connector_segment	Connector Segment	device_type	Device Type	dd_phys_field	No	No	No	Yes	,Bridge,Busbar,Internal link,Mid Span Tap,Others,Tap,Unknown	NA	Yes	10
Segments	eo_connector_segment	Connector Segment	existing_phases	Existing Phases	dd_join_field	No	Connector Segment Existing Phase	1:n	No		NA	No	20
Segments	eo_connector_segment	Connector Segment	tp_data_updated_by_in_gis	Data Updated By in GIS	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Segments	eo_connector_segment	Connector Segment	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA	No	10
Segments	eo_connector_segment	Connector Segment	tp_data_collected_by	Data Collected By	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Segments	eo_connector_segment	Connector Segment	asset_id	Asset ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	36
Segments	eo_connector_segment	Connector Segment	tp_rated_voltage	Rated Voltage	dd_phys_field	No	No	No	No		float	No	10
Segments	eo_connector_segment	Connector Segment	tp_date_of_last_maintenance	Date of Last Maintenance	dd_phys_field	No	No	No	No		ds_date	No	10
Segments	eo_connector_segment	Connector Segment	tp_date_of_creation_in_gis	Date of Creation in GIS	dd_phys_field	No	No	No	No		ds_date	No	10
Segments	eo_connector_segment	Connector Segment	tp_migration_unique_id	Migration Unique Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Segments	eo_connector_segment	Connector Segment	alias_description	Alias Description	dd_derived_field	No	No	No	No		ds_char16_vector	No	255
Segments	eo_connector_segment	Connector Segment	past_installation	Past Installation	dd_join_field	No	Connector Segment Installation	join_via	No		NA	No	20
Segments	eo_connector_segment	Connector Segment	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Segments	eo_connector_point_inst	Connector Point Installation	tp_circle_name	Circle Name	dd_phys_field	No	No	No	Yes	,,Aska,Berhampur,Bhanjanagar,City,City Circle,Jeypore,Rayagada,Raygada,Unknown	NA	Yes	10
Segments	eo_connector_point_inst	Connector Point Installation	device_type	Device Type	dd_derived_field	No	No	No	Yes	,Branch Point,Breach,Cable Joint,Cable Straight Through Joint,Cable Termination,Earth,End Point,Mains,Pothead,Service,Splice,Straight,Termination,Unknown,Wire Change,Wire Joint	NA	No	10
Segments	eo_connector_point_inst	Connector Point Installation	tp_sub_division_code	Sub Division Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Segments	eo_connector_point_inst	Connector Point Installation	tp_locality	Locality	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Segments	eo_connector_point_inst	Connector Point Installation	tp_road_name	Road Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Segments	eo_connector_point_inst	Connector Point Installation	future_phases	Future Phases	dd_join_field	No	Connector Point Future Phase	1:n	No		NA	No	20
Segments	eo_connector_point_inst	Connector Point Installation	future_assets	Future Assets	dd_join_field	No	Connector Point	join_via	No		NA	No	20
Segments	eo_connector_point_inst	Connector Point Installation	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer	Yes	10
Segments	eo_connector_point_inst	Connector Point Installation	tp_warranty_end_date	Warranty End Date	dd_phys_field	No	No	No	No		ds_date	No	10
Segments	eo_connector_point_inst	Connector Point Installation	existing_assets	Existing Assets	dd_join_field	No	Connector Point	join_via	No		NA	No	20
Segments	eo_connector_point_inst	Connector Point Installation	location	Location	dd_geom_field	point	No	No	No		NA	No	10
Segments	eo_connector_point_inst	Connector Point Installation	annotation_lv	LV Annotation	dd_geom_field	text	No	No	No		NA	No	10
Segments	eo_connector_point_inst	Connector Point Installation	tp_existing_joint_no	Existing Joint No	dd_phys_field	No	No	No	No		integer	No	10
