Enum Type Name	Enum Values
eo_bank_configuration	;Delta-UnGrd/Delta-Grd;Delta-UnGrd/Delta-UnGrd;Delta-UnGrd/Wye-Grd;Delta-UnGrd/Wye-UnGrd;Open-Delta-UnGrd/Open-Delta-Grd;Open-Delta-UnGrd/Open-Delta-UnGrd;Open-Wye-Grd/Open-Delta-Grd;Open-Wye-Grd/Open-Delta-UnGrd;Open-Wye-UnGrd/Open-Delta-Grd;Open-Wye-UnGrd/Open-Delta-UnGrd;Phase-Grd/Phase-Grd;Phase-Grd/SWER;Phase-Grd/Split Phase;Phase-Phase-UnGrd/Phase-Grd;Phase-Phase-UnGrd/SWER;Phase-Phase-UnGrd/Split Phase;SWER/Phase-Grd;SWER/Split Phase;Single Phase;Unknown;Wye-Grd/Delta-Grd;Wye-Grd/Delta-UnGrd;Wye-Grd/Wye-Grd;Wye-Grd/Wye-UnGrd;Wye-UnGrd/Delta-Grd;Wye-UnGrd/Delta-UnGrd;Wye-UnGrd/Wye-Grd;Wye-UnGrd/Wye-UnGrd;
eo_bay_status	;In Service;Reserved;Temporary;Unknown;
eo_bay_type	;Feederway;Transformer;Unknown;
eo_building_type	Apartment/Condominium;Arena/Public Assembly;Church;Day Care Center;Duplex;Entertainment;Golf Course Clubhouse;Government;Health Care Center;Hospital;Light Industry/Office;Manufacturing;Motel/Hotel;Multi Family;Other;Park;Parking Lot/Structure;Prison;School;Shopping Center/Retail;Single Family;Unknown;Warehouse;
eo_built_as	;12 ft Platform;14 ft Platform;Crossarm;Ground;Other;Pad;Platform;Pole;Polypad;Station;Submersible;Unknown;Vault;
eo_bulb_type	;Fluorescent;High Pressure Sodium;Incandescent;Low Pressure Sodium;Mercury Vapor;Metal Halide;Unknown;
eo_cable_arrangement	;Direct Buried;Metallic Conduit;Non Metallic Conduit;Submersible;
eo_cable_segment_style_subcode	;Abandoned;Existing;Existing with change;Inactive;Proposed Abandon;Proposed Install;Proposed Relocate;Proposed Remove;Proposed Replace;Removed;Temporary;
eo_carrier	;AT&T;Unknown;
eo_circuit_section_type	;Circuit Source Section;Isolatable Section;
eo_comb_earth_neutral	;No;Unknown;Yes;
eo_comms_device_style_subcode	;Access Point, Abandoned;Access Point, Existing;Access Point, Inactive;Access Point, Proposed Abandon;Access Point, Proposed Install;Access Point, Proposed Relocate;Access Point, Proposed Remove;Access Point, Proposed Replace;Access Point, Removed;Access Point, Temporary;Collectors, Abandoned;Collectors, Existing;Collectors, Inactive;Collectors, Proposed Abandon;Collectors, Proposed Install;Collectors, Proposed Relocate;Collectors, Proposed Remove;Collectors, Proposed Replace;Collectors, Removed;Collectors, Temporary;Load Control, Abandoned;Load Control, Existing;Load Control, Inactive;Load Control, Proposed Abandon;Load Control, Proposed Install;Load Control, Proposed Relocate;Load Control, Proposed Remove;Load Control, Proposed Replace;Load Control, Removed;Load Control, Temporary;Monitor, Abandoned;Monitor, Existing;Monitor, Inactive;Monitor, Proposed Abandon;Monitor, Proposed Install;Monitor, Proposed Relocate;Monitor, Proposed Remove;Monitor, Proposed Replace;Monitor, Removed;Monitor, Temporary;Relay, Abandoned;Relay, Existing;Relay, Inactive;Relay, Proposed Abandon;Relay, Proposed Install;Relay, Proposed Relocate;Relay, Proposed Remove;Relay, Proposed Replace;Relay, Removed;Relay, Temporary;Unknown, Abandoned;Unknown, Existing;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;
eo_comms_device_type	Access Point;Collectors;Load Control;Monitor;Relay;Unknown;
eo_composite_switch_device_type	Distribution Panel;Link Box;Ring Main Unit;Unknown;
eo_composite_switch_spec_config	;1-Way;2-Way;3-Way;4-Way;5-Way;Unknown;
eo_composite_switch_style_sc	;Distribution Panel, Abandoned;Distribution Panel, Existing;Distribution Panel, Inactive;Distribution Panel, Proposed Abandon;Distribution Panel, Proposed Install;Distribution Panel, Proposed Relocate;Distribution Panel, Proposed Remove;Distribution Panel, Proposed Replace;Distribution Panel, Removed;Distribution Panel, Temporary;Link Box, Abandoned;Link Box, Existing;Link Box, Inactive;Link Box, Proposed Abandon;Link Box, Proposed Install;Link Box, Proposed Relocate;Link Box, Proposed Remove;Link Box, Proposed Replace;Link Box, Removed;Link Box, Temporary;Ring Main Unit, Abandoned;Ring Main Unit, Existing;Ring Main Unit, Inactive;Ring Main Unit, Proposed Abandon;Ring Main Unit, Proposed Install;Ring Main Unit, Proposed Relocate;Ring Main Unit, Proposed Remove;Ring Main Unit, Proposed Replace;Ring Main Unit, Removed;Ring Main Unit, Temporary;Unknown, Abandoned;Unknown, Existing;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;
eo_conduit_material	Concrete;Fiberglass;PE;PVC;Steel;Unknown;
eo_conduit_type	Conduit;Duct Bank;Unknown;
eo_conn_seg_style_subcode	;Bridge, Abandoned;Bridge, Existing;Bridge, Inactive;Bridge, Proposed Abandon;Bridge, Proposed Install;Bridge, Proposed Relocate;Bridge, Proposed Remove;Bridge, Proposed Replace;Bridge, Removed;Bridge, Temporary;Busbar, Abandoned;Busbar, Existing;Busbar, Inactive;Busbar, Proposed Abandon;Busbar, Proposed Install;Busbar, Proposed Relocate;Busbar, Proposed Remove;Busbar, Proposed Replace;Busbar, Removed;Busbar, Temporary;Mid Span Tap, Abandoned;Mid Span Tap, Existing;Mid Span Tap, Inactive;Mid Span Tap, Proposed Abandon;Mid Span Tap, Proposed Install;Mid Span Tap, Proposed Relocate;Mid Span Tap, Proposed Remove;Mid Span Tap, Proposed Replace;Mid Span Tap, Removed;Mid Span Tap, Temporary;Tap, Abandoned;Tap, Existing;Tap, Inactive;Tap, Proposed Abandon;Tap, Proposed Install;Tap, Proposed Relocate;Tap, Proposed Remove;Tap, Proposed Replace;Tap, Removed;Tap, Temporary;Unknown, Abandoned;Unknown, Existing;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;
eo_connector_point_style_subcode	;Breach, Abandoned;Breach, Existing;Breach, Existing with change;Breach, Inactive;Breach, Proposed Abandon;Breach, Proposed Install;Breach, Proposed Relocate;Breach, Proposed Remove;Breach, Proposed Replace;Breach, Removed;Breach, Temporary;Earth, Abandoned;Earth, Existing;Earth, Existing with change;Earth, Inactive;Earth, Proposed Abandon;Earth, Proposed Install;Earth, Proposed Relocate;Earth, Proposed Remove;Earth, Proposed Replace;Earth, Removed;Earth, Temporary;Mains, Abandoned;Mains, Existing;Mains, Existing with change;Mains, Inactive;Mains, Proposed Abandon;Mains, Proposed Install;Mains, Proposed Relocate;Mains, Proposed Remove;Mains, Proposed Replace;Mains, Removed;Mains, Temporary;Pothead, Abandoned;Pothead, Existing;Pothead, Existing with change;Pothead, Inactive;Pothead, Proposed Abandon;Pothead, Proposed Install;Pothead, Proposed Relocate;Pothead, Proposed Remove;Pothead, Proposed Replace;Pothead, Removed;Pothead, Temporary;Service, Abandoned;Service, Existing;Service, Existing with change;Service, Inactive;Service, Proposed Abandon;Service, Proposed Install;Service, Proposed Relocate;Service, Proposed Remove;Service, Proposed Replace;Service, Removed;Service, Temporary;Splice, Abandoned;Splice, Existing;Splice, Existing with change;Splice, Inactive;Splice, Proposed Abandon;Splice, Proposed Install;Splice, Proposed Relocate;Splice, Proposed Remove;Splice, Proposed Replace;Splice, Removed;Splice, Temporary;Straight, Abandoned;Straight, Existing;Straight, Existing with change;Straight, Inactive;Straight, Proposed Abandon;Straight, Proposed Install;Straight, Proposed Relocate;Straight, Proposed Remove;Straight, Proposed Replace;Straight, Removed;Straight, Temporary;Termination, Abandoned;Termination, Existing;Termination, Existing with change;Termination, Inactive;Termination, Proposed Abandon;Termination, Proposed Install;Termination, Proposed Relocate;Termination, Proposed Remove;Termination, Proposed Replace;Termination, Removed;Termination, Temporary;Unknown, Abandoned;Unknown, Existing;Unknown, Existing with change;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;Wire Change, Abandoned;Wire Change, Existing;Wire Change, Existing with change;Wire Change, Inactive;Wire Change, Proposed Abandon;Wire Change, Proposed Install;Wire Change, Proposed Relocate;Wire Change, Proposed Remove;Wire Change, Proposed Replace;Wire Change, Removed;Wire Change, Temporary;
eo_connector_point_type	Branch Point;Breach;Cable Joint;Cable Straight Through Joint;Cable Termination;Earth;End Point;Mains;Pothead;Service;Splice;Straight;Termination;Unknown;Wire Change;Wire Joint;
eo_connector_segment_type	Bridge;Busbar;Mid Span Tap;Tap;Unknown;
eo_controller_mode	Automatic;Local;Remote;Unknown;
eo_cross_sec_el_style_subcode	Accurate Route;Cable Segment;Conduit, Abandoned;Conduit, Existing;Conduit, Proposed Abandon;Conduit, Proposed Install;Conduit, Proposed Remove;Conduit, Proposed Replace;Unknown;Wire Segment;
eo_ct_type	;On Line Type;Ring Type;Unknown;
eo_dac_device_type	;Unknown;
eo_dac_style_sc	Abandoned;Existing;Inactive;Proposed Abandon;Proposed Install;Proposed Relocate;Proposed Remove;Proposed Replace;Removed;Temporary;Unknown;
eo_emei_style_subcode	;Current Transformer, Abandoned;Current Transformer, Existing;Current Transformer, Existing with change;Current Transformer, Inactive;Current Transformer, Proposed Abandon;Current Transformer, Proposed Install;Current Transformer, Proposed Relocate;Current Transformer, Proposed Remove;Current Transformer, Proposed Replace;Current Transformer, Removed;Current Transformer, Temporary;Unknown;Unknown, Abandoned;Unknown, Existing;Unknown, Existing with change;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;Voltage Transformer, Abandoned;Voltage Transformer, Existing;Voltage Transformer, Existing with change;Voltage Transformer, Inactive;Voltage Transformer, Proposed Abandon;Voltage Transformer, Proposed Install;Voltage Transformer, Proposed Relocate;Voltage Transformer, Proposed Remove;Voltage Transformer, Proposed Replace;Voltage Transformer, Removed;Voltage Transformer, Temporary;
eo_energy_consumer_class	;Commercial Type 1;Commercial Type 2;Industrial;Other;Residential Type 1;Residential Type 2;Residential Type 3;Residential Type 4;Traffic Signal;Unknown;
eo_energy_consumer_style_subcode	;Abandoned;Existing;Inactive;Proposed Abandon;Proposed Install;Proposed Relocate;Proposed Remove;Proposed Replace;Removed;Temporary;
eo_energy_consumer_type	;Key Customer;Major Account;Medical;Normal;Unknown;
eo_energy_source_style_subcode	;Biogas, Abandoned;Biogas, Existing;Biogas, Inactive;Biogas, Proposed Abandon;Biogas, Proposed Install;Biogas, Proposed Relocate;Biogas, Proposed Remove;Biogas, Proposed Replace;Biogas, Removed;Biogas, Temporary;CHP, Abandoned;CHP, Existing;CHP, Inactive;CHP, Proposed Abandon;CHP, Proposed Install;CHP, Proposed Relocate;CHP, Proposed Remove;CHP, Proposed Replace;CHP, Removed;CHP, Temporary;Coal, Abandoned;Coal, Existing;Coal, Inactive;Coal, Proposed Abandon;Coal, Proposed Install;Coal, Proposed Relocate;Coal, Proposed Remove;Coal, Proposed Replace;Coal, Removed;Coal, Temporary;Cogen, Abandoned;Cogen, Existing;Cogen, Inactive;Cogen, Proposed Abandon;Cogen, Proposed Install;Cogen, Proposed Relocate;Cogen, Proposed Remove;Cogen, Proposed Replace;Cogen, Removed;Cogen, Temporary;Gas, Abandoned;Gas, Existing;Gas, Inactive;Gas, Proposed Abandon;Gas, Proposed Install;Gas, Proposed Relocate;Gas, Proposed Remove;Gas, Proposed Replace;Gas, Removed;Gas, Temporary;Generator, Abandoned;Generator, Existing;Generator, Inactive;Generator, Proposed Abandon;Generator, Proposed Install;Generator, Proposed Relocate;Generator, Proposed Remove;Generator, Proposed Replace;Generator, Removed;Generator, Temporary;Nuclear, Abandoned;Nuclear, Existing;Nuclear, Inactive;Nuclear, Proposed Abandon;Nuclear, Proposed Install;Nuclear, Proposed Relocate;Nuclear, Proposed Remove;Nuclear, Proposed Replace;Nuclear, Removed;Nuclear, Temporary;Solar, Abandoned;Solar, Existing;Solar, Inactive;Solar, Proposed Abandon;Solar, Proposed Install;Solar, Proposed Relocate;Solar, Proposed Remove;Solar, Proposed Replace;Solar, Removed;Solar, Temporary;Unknown, Abandoned;Unknown, Existing;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;Wind, Abandoned;Wind, Existing;Wind, Inactive;Wind, Proposed Abandon;Wind, Proposed Install;Wind, Proposed Relocate;Wind, Proposed Remove;Wind, Proposed Replace;Wind, Removed;Wind, Temporary;
eo_energy_source_type	Biogas;CHP;Coal;Cogen;Gas;Generator;Nuclear;Solar;Unknown;Wind;
eo_energy_storage_style_subcode	;Battery, Abandoned;Battery, Existing;Battery, Existing with change;Battery, Inactive;Battery, Proposed Abandon;Battery, Proposed Install;Battery, Proposed Relocate;Battery, Proposed Remove;Battery, Proposed Replace;Battery, Removed;Battery, Temporary;Community Energy Storage, Abandoned;Community Energy Storage, Existing;Community Energy Storage, Existing with change;Community Energy Storage, Inactive;Community Energy Storage, Proposed Abandon;Community Energy Storage, Proposed Install;Community Energy Storage, Proposed Relocate;Community Energy Storage, Proposed Remove;Community Energy Storage, Proposed Replace;Community Energy Storage, Removed;Community Energy Storage, Temporary;Sodium-sulfur Battery (NaS), Abandoned;Sodium-sulfur Battery (NaS), Existing;Sodium-sulfur Battery (NaS), Existing with change;Sodium-sulfur Battery (NaS), Inactive;Sodium-sulfur Battery (NaS), Proposed Abandon;Sodium-sulfur Battery (NaS), Proposed Install;Sodium-sulfur Battery (NaS), Proposed Relocate;Sodium-sulfur Battery (NaS), Proposed Remove;Sodium-sulfur Battery (NaS), Proposed Replace;Sodium-sulfur Battery (NaS), Removed;Sodium-sulfur Battery (NaS), Temporary;Superconducting Magnetic Energy Storage, Abandoned;Superconducting Magnetic Energy Storage, Existing;Superconducting Magnetic Energy Storage, Existing with change;Superconducting Magnetic Energy Storage, Inactive;Superconducting Magnetic Energy Storage, Proposed Abandon;Superconducting Magnetic Energy Storage, Proposed Install;Superconducting Magnetic Energy Storage, Proposed Relocate;Superconducting Magnetic Energy Storage, Proposed Remove;Superconducting Magnetic Energy Storage, Proposed Replace;Superconducting Magnetic Energy Storage, Removed;Superconducting Magnetic Energy Storage, Temporary;Unknown, Abandoned;Unknown, Existing;Unknown, Existing with change;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;
eo_eqpt_assembly_style_subcode	;Capacitor, Abandoned;Capacitor, Existing;Capacitor, Inactive;Capacitor, Proposed Abandon;Capacitor, Proposed Install;Capacitor, Proposed Relocate;Capacitor, Proposed Remove;Capacitor, Proposed Replace;Capacitor, Removed;Capacitor, Temporary;Recloser, Abandoned;Recloser, Existing;Recloser, Inactive;Recloser, Proposed Abandon;Recloser, Proposed Install;Recloser, Proposed Relocate;Recloser, Proposed Remove;Recloser, Proposed Replace;Recloser, Removed;Recloser, Temporary;Regulator, Abandoned;Regulator, Existing;Regulator, Inactive;Regulator, Proposed Abandon;Regulator, Proposed Install;Regulator, Proposed Relocate;Regulator, Proposed Remove;Regulator, Proposed Replace;Regulator, Removed;Regulator, Temporary;Sectionaliser, Abandoned;Sectionaliser, Existing;Sectionaliser, Inactive;Sectionaliser, Proposed Abandon;Sectionaliser, Proposed Install;Sectionaliser, Proposed Relocate;Sectionaliser, Proposed Remove;Sectionaliser, Proposed Replace;Sectionaliser, Removed;Sectionaliser, Temporary;Unknown, Abandoned;Unknown, Existing;Unknown, Inactive;Unknown, Proposed Abandon;Unknown, Proposed Install;Unknown, Proposed Relocate;Unknown, Proposed Remove;Unknown, Proposed Replace;Unknown, Removed;Unknown, Temporary;
eo_equipment_assembly_type	Capacitor;Recloser;Regulator;Sectionaliser;Unknown;
eo_fiber_optic_type	;ADSS;Armored;Dielectric;Lashed;OPGW;Unknown;
eo_floor_design_type	;Unknown;
eo_flow_direction_desc_type	;Backward;Forward;N/A;Unknown;
